date,temperature
2025-01-01 00:00:00,18.0
2025-01-02 00:00:00,16.3
2025-01-03 00:00:00,15.6
2025-01-04 00:00:00,15.5
2025-01-05 00:00:00,15.3
2025-01-06 00:00:00,16.2
2025-01-07 00:00:00,17.3
2025-01-08 00:00:00,16.8
2025-01-09 00:00:00,16.7
2025-01-10 00:00:00,16.8
2025-01-11 00:00:00,17.0
2025-01-12 00:00:00,18.0
2025-01-13 00:00:00,16.5
2025-01-14 00:00:00,15.7
2025-01-15 00:00:00,16.5
2025-01-16 00:00:00,16.9
2025-01-17 00:00:00,17.3
2025-01-18 00:00:00,16.2
2025-01-19 00:00:00,15.8
2025-01-20 00:00:00,16.0
2025-01-21 00:00:00,16.5
2025-01-22 00:00:00,17.8
2025-01-23 00:00:00,17.2
2025-01-24 00:00:00,17.2
2025-01-25 00:00:00,17.6
2025-01-26 00:00:00,17.8
2025-01-27 00:00:00,17.6
2025-01-28 00:00:00,17.7
2025-01-29 00:00:00,17.6
2025-01-30 00:00:00,17.3
2025-01-31 00:00:00,16.5
2025-02-01 00:00:00,16.8
2025-02-02 00:00:00,16.7
2025-02-03 00:00:00,16.6
2025-02-04 00:00:00,16.7
2025-02-05 00:00:00,18.1
2025-02-06 00:00:00,19.7
2025-02-07 00:00:00,18.2
2025-02-08 00:00:00,16.3
2025-02-09 00:00:00,16.2
2025-02-10 00:00:00,15.7
2025-02-11 00:00:00,17.1
2025-02-12 00:00:00,19.4
2025-02-13 00:00:00,19.2
2025-02-14 00:00:00,18.0
2025-02-15 00:00:00,16.4
2025-02-16 00:00:00,16.5
2025-02-17 00:00:00,18.3
2025-02-18 00:00:00,17.5
2025-02-19 00:00:00,17.7
2025-02-20 00:00:00,18.0
2025-02-21 00:00:00,18.0
2025-02-22 00:00:00,18.8
2025-02-23 00:00:00,18.7
2025-02-24 00:00:00,16.7
2025-02-25 00:00:00,13.2
2025-02-26 00:00:00,13.4
2025-02-27 00:00:00,13.4
2025-02-28 00:00:00,15.0
2025-03-01 00:00:00,15.7
2025-03-02 00:00:00,17.0
2025-03-03 00:00:00,16.3
2025-03-04 00:00:00,15.9
2025-03-05 00:00:00,19.3
2025-03-06 00:00:00,18.7
2025-03-07 00:00:00,20.5
2025-03-08 00:00:00,20.2
2025-03-09 00:00:00,19.7
2025-03-10 00:00:00,19.0
